University Name,Name
University of Pennsylvania,Petra Todd
University of Pennsylvania,Rakesh Vohra
University of Pennsylvania,Yuichi Yamamoto
University of Pennsylvania,Ufuk Akcigit
University of Pennsylvania,Flávio Cunha
University of Pennsylvania,Alvaro Sandroni
University of Pennsylvania,Luca Bossi
University of Pennsylvania,Anne Duchene
University of Pennsylvania,Gizem Saka
University of Pennsylvania,Deniz Selman
University of Pennsylvania,Wilfred J. Ethier
University of Pennsylvania,Alan Heston
University of Pennsylvania,Roberto Mariano
University of Pennsylvania,Kenneth I. Wolpin
Massachusetts Institute of Technology,Alberto Abadie
Massachusetts Institute of Technology,Daron Acemoglu
Massachusetts Institute of Technology,Nikhil Agarwal
Massachusetts Institute of Technology,George-Marios Angeletos
Massachusetts Institute of Technology,Joshua Angrist
Massachusetts Institute of Technology,David Atkin
Massachusetts Institute of Technology,David Autor
Massachusetts Institute of Technology,Abhijit Banerjee
Massachusetts Institute of Technology,Martin Beraja
Massachusetts Institute of Technology,Ricardo Caballero
Massachusetts Institute of Technology,Victor Chernozhukov
Massachusetts Institute of Technology,Arnaud Costinot
Massachusetts Institute of Technology,Dave Donaldson
Massachusetts Institute of Technology,Esther Duflo
Massachusetts Institute of Technology,Glenn Ellison
Massachusetts Institute of Technology,Sara Fisher Ellison
Massachusetts Institute of Technology,Amy Finkelstein
Massachusetts Institute of Technology,Drew Fudenberg
Massachusetts Institute of Technology,Robert Gibbons
Massachusetts Institute of Technology,Jonathan Gruber
Massachusetts Institute of Technology,Jeffrey Harris
Massachusetts Institute of Technology,Bengt Holmstrom
Massachusetts Institute of Technology,Simon Jäger
Massachusetts Institute of Technology,Anna Mikusheva
Massachusetts Institute of Technology,Whitney Newey
Massachusetts Institute of Technology,Benjamin Olken
Massachusetts Institute of Technology,Parag Pathak
Massachusetts Institute of Technology,James Poterba
Massachusetts Institute of Technology,Drazen Prelec
Massachusetts Institute of Technology,Nancy L. Rose
Massachusetts Institute of Technology,Tobias Salz
Massachusetts Institute of Technology,Frank Schilbach
Massachusetts Institute of Technology,Alp Simsek
Massachusetts Institute of Technology,Robert M. Townsend
Massachusetts Institute of Technology,John Van Reenen
Massachusetts Institute of Technology,Iván Werning
Massachusetts Institute of Technology,Michael Whinston
Massachusetts Institute of Technology,Heidi Williams
Massachusetts Institute of Technology,Alexander Wolitzky
Massachusetts Institute of Technology,Muhamet Yildiz
Massachusetts Institute of Technology,Olivier Blanchard
Massachusetts Institute of Technology,Peter Diamond
Massachusetts Institute of Technology,Richard S. Eckaus
Massachusetts Institute of Technology,Stanley Fischer
Massachusetts Institute of Technology,Franklin Fisher
Massachusetts Institute of Technology,Jerry Hausman
Massachusetts Institute of Technology,Paul Joskow
